1,PER,1,Tarra,Hatchette,Pine View,0648,,Kebunkelapa
5,PER,2,Delmer,Crummy,Mccormick,6666,,Huazhou
9,PER,3,Casi,Lines,Warbler,46,8650-104,Burgau
13,PER,4,Viviene,Bonaire,Superior,55,,Ifakara
17,PER,5,Odelia,Buffy,Oak Valley,04,9241,Bakovci
21,PER,6,Austen,Schulter,Roth,3,,Kabir
25,PER,7,Chandra,Rudeyeard,Columbus,96,,Kamionka Strumitowa
29,PER,8,Corny,Keirle,Hansons,37425,802 85,Gävle
33,PER,9,Katherine,Conklin,Scott,10,44280,Sumiainen
37,PER,10,Chiquia,Quince,Hooker,1985,,Dongtai
41,PER,11,Cosme,Beacon,Alpine,7332,,Baghlān
45,PER,12,Teodoro,Dreakin,Sage,02699,,Zborište
49,PER,13,Teresina,Brislan,Claremont,11067,,Azor
53,PER,14,Estrellita,Bagwell,Lotheville,360,,Dapo
57,PER,15,Shoshana,Ferrolli,Laurel,259,4105,Tafí Viejo
61,PER,16,Obadias,Boyson,Del Sol,16527,8507,Loreto
65,PER,17,Abey,Maddick,Debs,1,,Bor
69,PER,18,Gianna,Laybourn,Kedzie,077,,La Unión
73,PER,19,Forbes,Mulhall,Ramsey,2127,395003,R S
77,PER,20,Kelvin,Baskeyfield,Tennessee,7,,Xinglongchang
81,PER,21,Renate,Brusby,Graedel,13337,,Gosë e Madhe
85,PER,22,Gwyneth,Gostling,Dorton,14890,35435 CEDEX,Saint-Jouan-des-Guérets
89,PER,23,Mile,Jahndel,Anniversary,03,,Temblador
93,PER,24,Rodney,Hazeldene,Hagan,863,,Guanghai
97,PER,25,Bunny,Laguerre,Dakota,08,,Gadon
101,PER,26,Marcelo,Jailler,Schurz,91238,3454,Buena Esperanza
105,PER,27,Land,Breward,Messerschmidt,651,,Taipingzhuang
109,PER,28,Rosie,Artz,Towne,94,,Taichung
113,PER,29,Yorgos,Copley,Del Mar,0430,,Langnga
117,PER,30,Charley,Enstone,Knutson,3,153 31,Järna
121,PER,31,Gallard,Bollard,Red Cloud,8389,,Ganxi
125,PER,32,Ennis,Knapp,Kipling,773,686008,Puerto Parra
129,PER,33,Veriee,Seamons,Bunting,0155,,Kastélli
133,PER,34,Alta,Axleby,Boyd,22941,,Suyang
137,PER,35,Bel,Gorse,Melvin,990,9406,Matalam
141,PER,36,Derward,Hollingsbee,Jay,24798,,Tajinan
145,PER,37,Devlin,Cutress,Moland,57,,Gusong
149,PER,38,Ram,Lambrick,Carioca,818,,Mursaba
153,PER,39,Alexandr,Pedder,Butterfield,07,,Lubāna
157,PER,40,Alleen,Lifsey,Victoria,563,,Áno Merá
161,PER,41,Sascha,Peasey,Scofield,02567,,Wufeng
165,PER,42,Sissie,Hewes,Sugar,32,22215,Grabovci
169,PER,43,Quint,Kershaw,Glendale,75,17126,Harrisburg
173,PER,44,Rona,Sisnett,Commercial,9398,,Dolod
177,PER,45,Pierson,Ipplett,Pepper Wood,796,,Xiema
181,PER,46,Babette,Skeel,Lillian,5,,Roboré
185,PER,47,Dasi,Rosbrough,Bluestem,58117,,Dulce Nombre
189,PER,48,Hertha,Schapero,Dryden,5,78130,Morelos
193,PER,49,Dorothee,Gryglewski,Erie,315,2530-285,Sobral
197,PER,50,Feliks,Nazer,Golden Leaf,62511,,Roun Satu
201,PER,51,Lindsy,Tudbald,Sloan,167,48150,Khuan Don
205,PER,52,Fayth,Gaddie,Shelley,46,,Raksajaya
209,PER,53,Lyman,Galle,Mockingbird,1406,,Thị Trấn Văn Quan
213,PER,54,Cheston,Thomke,Granby,23868,82153,Antonio Toledo Corro
217,PER,55,Rand,Symones,Homewood,37257,,Mégara
221,PER,56,Daryl,Hardisty,Fordem,272,,Quảng Yên
225,PER,57,Consuelo,Hallwood,Dahle,8,,Balong Wetan
229,PER,58,Guillaume,Macon,Rigney,804,,Danané
233,PER,59,Bobine,Caunter,Hollow Ridge,59,,Ağdam
237,PER,60,Desmund,Mullan,Coleman,30,,Fengcun
241,PER,61,Arman,Snoddy,Myrtle,7,30505,Vicente Guerrero
245,PER,62,Angus,Harriott,Meadow Ridge,57433,,Altanbulag
249,PER,63,Dudley,Thunders,Red Cloud,771,,Kafr Takhārīm
253,PER,64,Penelope,Sibary,Morningstar,80,78-445,Łubowo
257,PER,65,Willyt,Clewes,Pearson,7,,Linpu
261,PER,66,Leicester,Parramore,7th,2700,34-530,Bukowina Tatrzańska
265,PER,67,Hubert,Calf,Fulton,052,538 03,Heřmanův Městec
269,PER,68,Dorise,Valentinetti,New Castle,479,649787,Tashanta
273,PER,69,Titus,Dorn,Sundown,516,,‘Awartā
277,PER,70,Ernie,Oakman,Di Loreto,593,,Cibeureum
281,PER,71,Tiffy,Puddifer,Green,5,6329,Cambuga
285,PER,72,Audie,Karolovsky,Meadow Ridge,28,,Daixi
289,PER,73,Roi,Craigie,Thompson,2,78900-000,Porto Velho
293,PER,74,Briant,Petlyura,Russell,8,55123,Saint Paul
297,PER,75,Augusta,Eagleton,Macpherson,650,5401,Marintoc
301,PER,76,Pinchas,Brecknell,Blackbird,371,,Mandal
305,PER,77,Osmond,Hargraves,Scoville,6,5340,Tinogasta
